Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
08/07/2024,Cabbage,154,Ahmedabad,FAQ,Ahmedabad,3300,1200,2950,Gujarat,Other
10/07/2024,Cabbage,154,Ahmedabad,FAQ,Ahmedabad,3800,1500,3050,Gujarat,Other
13/07/2024,Cabbage,154,Ahmedabad,FAQ,Ahmedabad,3800,2000,3100,Gujarat,Other
26/07/2024,Cabbage,154,Ahmedabad,FAQ,Ahmedabad,2800,1200,2150,Gujarat,Other
30/07/2024,Cabbage,154,Ahmedabad,FAQ,Ahmedabad,2500,1500,2050,Gujarat,Other
27/07/2024,Sweet Potato,152,Ahmedabad,FAQ,Ahmedabad,7000,6000,6750,Gujarat,Other
29/07/2024,Sweet Potato,152,Ahmedabad,FAQ,Ahmedabad,6500,6000,6350,Gujarat,Other
06/07/2024,Carrot,153,Ahmedabad,FAQ,Ahmedabad,1800,1200,1650,Gujarat,Other
10/07/2024,Carrot,153,Ahmedabad,FAQ,Ahmedabad,2250,1200,1850,Gujarat,Other
20/07/2024,Carrot,153,Ahmedabad,FAQ,Ahmedabad,2250,1000,1550,Gujarat,Other
27/07/2024,Carrot,153,Ahmedabad,FAQ,Ahmedabad,2250,1300,1650,Gujarat,Other
05/07/2024,Beetroot,157,Ahmedabad,FAQ,Ahmedabad,1800,1000,1550,Gujarat,Other
01/07/2024,Beetroot,157,Ahmedabad,FAQ,Ahmedabad,1800,1200,1500,Gujarat,Other
08/07/2024,Beetroot,157,Ahmedabad,FAQ,Ahmedabad,1750,1200,1600,Gujarat,Other
10/07/2024,Beetroot,157,Ahmedabad,FAQ,Ahmedabad,2000,1500,1850,Gujarat,Other
18/07/2024,Beetroot,157,Ahmedabad,FAQ,Ahmedabad,1500,1000,1350,Gujarat,Other
22/07/2024,Beetroot,157,Ahmedabad,FAQ,Ahmedabad,1800,800,1650,Gujarat,Other
25/07/2024,Beetroot,157,Ahmedabad,FAQ,Ahmedabad,1800,800,1500,Gujarat,Other
31/07/2024,Beetroot,157,Ahmedabad,FAQ,Ahmedabad,1500,800,1350,Gujarat,Other
03/07/2024,Ginger(Green),103,Ahmedabad,FAQ,Ahmedabad,12000,7500,9750,Gujarat,Other
05/07/2024,Ginger(Green),103,Ahmedabad,FAQ,Ahmedabad,11000,7000,7250,Gujarat,Other
06/07/2024,Ginger(Green),103,Ahmedabad,FAQ,Ahmedabad,11500,7500,7750,Gujarat,Other
09/07/2024,Ginger(Green),103,Ahmedabad,FAQ,Ahmedabad,11500,10500,11000,Gujarat,Other
10/07/2024,Ginger(Green),103,Ahmedabad,FAQ,Ahmedabad,12500,10000,11500,Gujarat,Other
15/07/2024,Ginger(Green),103,Ahmedabad,FAQ,Ahmedabad,10000,5000,8900,Gujarat,Other
20/07/2024,Ginger(Green),103,Ahmedabad,FAQ,Ahmedabad,10500,6000,6750,Gujarat,Other
24/07/2024,Ginger(Green),103,Ahmedabad,FAQ,Ahmedabad,11500,6000,11000,Gujarat,Other
12/07/2024,Cabbage,154,Ahmedabad,FAQ,Ahmedabad,3800,1500,3450,Gujarat,Other
24/07/2024,Cabbage,154,Ahmedabad,FAQ,Ahmedabad,2700,1500,2550,Gujarat,Other
13/07/2024,Banana - Green,90,Ahmedabad,FAQ,Ahmedabad,1500,800,1150,Gujarat,Other
18/07/2024,Banana - Green,90,Ahmedabad,FAQ,Ahmedabad,1300,800,1050,Gujarat,Other
19/07/2024,Banana - Green,90,Ahmedabad,FAQ,Ahmedabad,1200,800,1050,Gujarat,Other
23/07/2024,Banana - Green,90,Ahmedabad,FAQ,Ahmedabad,1000,500,900,Gujarat,Other
24/07/2024,Banana - Green,90,Ahmedabad,FAQ,Ahmedabad,1000,500,850,Gujarat,Other
30/07/2024,Banana - Green,90,Ahmedabad,FAQ,Ahmedabad,1200,600,950,Gujarat,Other
31/07/2024,Banana - Green,90,Ahmedabad,FAQ,Ahmedabad,1200,500,950,Gujarat,Other
05/07/2024,Cucumbar(Kheera),159,Ahmedabad,FAQ,Ahmedabad,7000,800,3100,Gujarat,Other
10/07/2024,Cucumbar(Kheera),159,Ahmedabad,FAQ,Ahmedabad,7000,1000,3850,Gujarat,Other
15/07/2024,Cucumbar(Kheera),159,Ahmedabad,FAQ,Ahmedabad,7000,1000,3250,Gujarat,Other
24/07/2024,Cucumbar(Kheera),159,Ahmedabad,FAQ,Ahmedabad,2500,600,1950,Gujarat,Other
27/07/2024,Cucumbar(Kheera),159,Ahmedabad,FAQ,Ahmedabad,3000,1000,2150,Gujarat,Other
30/07/2024,Cucumbar(Kheera),159,Ahmedabad,FAQ,Ahmedabad,2800,800,2450,Gujarat,Other
02/07/2024,Peas Wet,174,Ahmedabad,FAQ,Ahmedabad,16000,11000,14500,Gujarat,Other
05/07/2024,Peas Wet,174,Ahmedabad,FAQ,Ahmedabad,17000,15000,16000,Gujarat,Other
27/07/2024,Peas Wet,174,Ahmedabad,FAQ,Ahmedabad,10000,9000,9500,Gujarat,Other
04/07/2024,Green Chilli,87,Ahmedabad,FAQ,Ahmedabad,5500,3500,5000,Gujarat,Other
15/07/2024,Green Chilli,87,Ahmedabad,FAQ,Ahmedabad,5500,2000,4250,Gujarat,Other
27/07/2024,Green Chilli,87,Ahmedabad,FAQ,Ahmedabad,4500,2000,2950,Gujarat,Other
12/07/2024,Lemon,310,Ahmedabad,FAQ,Ahmedabad,5000,2000,4000,Gujarat,Other
15/07/2024,Lemon,310,Ahmedabad,FAQ,Ahmedabad,6000,3500,4850,Gujarat,Other
19/07/2024,Lemon,310,Ahmedabad,FAQ,Ahmedabad,5500,2000,4850,Gujarat,Other
29/07/2024,Lemon,310,Ahmedabad,FAQ,Ahmedabad,6000,3000,4400,Gujarat,Other
03/07/2024,Drumstick,168,Ahmedabad,FAQ,Ahmedabad,8000,4000,6250,Gujarat,Other
04/07/2024,Drumstick,168,Ahmedabad,FAQ,Ahmedabad,8000,4000,6750,Gujarat,Other
23/07/2024,Drumstick,168,Ahmedabad,FAQ,Ahmedabad,9000,5000,7500,Gujarat,Other
16/07/2024,Mango (Raw-Ripe),172,Ahmedabad,FAQ,Ahmedabad,2500,1500,2000,Gujarat,Other
18/07/2024,Mango (Raw-Ripe),172,Ahmedabad,FAQ,Ahmedabad,2500,1500,2000,Gujarat,Other
19/07/2024,Mango (Raw-Ripe),172,Ahmedabad,FAQ,Ahmedabad,3000,1500,2750,Gujarat,Other
31/07/2024,Yam (Ratalu),297,Ahmedabad,FAQ,Ahmedabad,7000,6500,6750,Gujarat,Other
01/07/2024,Capsicum,164,Ahmedabad,FAQ,Ahmedabad,7000,4000,6000,Gujarat,Capsicum
08/07/2024,Capsicum,164,Ahmedabad,FAQ,Ahmedabad,6500,4000,5650,Gujarat,Capsicum
