arrival_date	year	month	state	district	commodity	max_modal_price	min_modal_price	avg_modal_price	variety_count	price_spread	spread_pct	arbitrage_flag	date_commodity_key
2020-01-01	2020	1	Gujarat	Ahmedabad	Tomato	1000	1000	1000	1	0	0	Low / single variety	2020-01-01_Tomato
2020-01-01	2020	1	Gujarat	Ahmedabad	Castor Seed	4000	4000	4000	1	0	0	Low / single variety	2020-01-01_Castor Seed
2020-01-01	2020	1	Gujarat	Ahmedabad	Wheat	2315	2315	2315	1	0	0	Low / single variety	2020-01-01_Wheat
2020-01-01	2020	1	Gujarat	Ahmedabad	Lemon	1200	1200	1200	1	0	0	Low / single variety	2020-01-01_Lemon
2020-01-01	2020	1	Gujarat	Ahmedabad	Capsicum	1950	1950	1950	1	0	0	Low / single variety	2020-01-01_Capsicum
2020-01-01	2020	1	Gujarat	Ahmedabad	Paddy(Dhan)(Common)	1960	1960	1960	1	0	0	Low / single variety	2020-01-01_Paddy(Dhan)(Common)
2020-01-01	2020	1	Gujarat	Ahmedabad	Yam (Ratalu)	3900	3900	3900	1	0	0	Low / single variety	2020-01-01_Yam (Ratalu)
2020-01-01	2020	1	Gujarat	Ahmedabad	Drumstick	7500	7500	7500	1	0	0	Low / single variety	2020-01-01_Drumstick
2020-01-01	2020	1	Gujarat	Ahmedabad	Cummin Seed(Jeera)	14262	14262	14262	1	0	0	Low / single variety	2020-01-01_Cummin Seed(Jeera)
2020-01-02	2020	1	Gujarat	Ahmedabad	Cummin Seed(Jeera)	14415	14300	14357.5	2	115	0.8	Low / single variety	2020-01-02_Cummin Seed(Jeera)
2020-01-02	2020	1	Gujarat	Ahmedabad	Guar Seed(Cluster Beans Seed)	3700	3700	3700	1	0	0	Low / single variety	2020-01-02_Guar Seed(Cluster Beans Seed)
2020-01-02	2020	1	Gujarat	Ahmedabad	Capsicum	1850	1850	1850	1	0	0	Low / single variety	2020-01-02_Capsicum
2020-01-02	2020	1	Gujarat	Ahmedabad	Drumstick	7250	7250	7250	1	0	0	Low / single variety	2020-01-02_Drumstick
2020-01-02	2020	1	Gujarat	Ahmedabad	Lemon	1200	1200	1200	1	0	0	Low / single variety	2020-01-02_Lemon
2020-01-02	2020	1	Gujarat	Ahmedabad	Yam (Ratalu)	3850	3850	3850	1	0	0	Low / single variety	2020-01-02_Yam (Ratalu)
2020-01-02	2020	1	Gujarat	Ahmedabad	Wheat	2290	2290	2290	1	0	0	Low / single variety	2020-01-02_Wheat
2020-01-02	2020	1	Gujarat	Ahmedabad	Tomato	1400	1400	1400	1	0	0	Low / single variety	2020-01-02_Tomato
2020-01-02	2020	1	Gujarat	Ahmedabad	Paddy(Dhan)(Common)	1965	1965	1965	1	0	0	Low / single variety	2020-01-02_Paddy(Dhan)(Common)
2020-01-02	2020	1	Gujarat	Ahmedabad	Onion	4900	4900	4900	1	0	0	Low / single variety	2020-01-02_Onion
2020-01-03	2020	1	Gujarat	Ahmedabad	Cummin Seed(Jeera)	14280	14250	14265	2	30	0.21	Low / single variety	2020-01-03_Cummin Seed(Jeera)
2020-01-03	2020	1	Gujarat	Ahmedabad	Onion	4400	4400	4400	1	0	0	Low / single variety	2020-01-03_Onion
2020-01-03	2020	1	Gujarat	Ahmedabad	Brinjal	1150	1150	1150	1	0	0	Low / single variety	2020-01-03_Brinjal
2020-01-03	2020	1	Gujarat	Ahmedabad	Green Chilli	1900	1900	1900	1	0	0	Low / single variety	2020-01-03_Green Chilli
2020-01-03	2020	1	Gujarat	Ahmedabad	Cauliflower	1250	1250	1250	1	0	0	Low / single variety	2020-01-03_Cauliflower
2020-01-03	2020	1	Gujarat	Ahmedabad	Guar	5500	5500	5500	1	0	0	Low / single variety	2020-01-03_Guar
2020-01-03	2020	1	Gujarat	Ahmedabad	Potato	1350	1350	1350	1	0	0	Low / single variety	2020-01-03_Potato
2020-01-03	2020	1	Gujarat	Ahmedabad	Tomato	1750	1750	1750	1	0	0	Low / single variety	2020-01-03_Tomato
2020-01-03	2020	1	Gujarat	Ahmedabad	Drumstick	6100	6100	6100	1	0	0	Low / single variety	2020-01-03_Drumstick
2020-01-03	2020	1	Gujarat	Ahmedabad	Cotton	5330	5330	5330	1	0	0	Low / single variety	2020-01-03_Cotton
2020-01-03	2020	1	Gujarat	Ahmedabad	Bitter gourd	2300	2300	2300	1	0	0	Low / single variety	2020-01-03_Bitter gourd
