arrival_date	year	month	state	district	market	commodity	variety	grade	modal_price	stddev_7d	avg_7d	cv_7d	volatility_band_7d	stddev_30d	avg_30d	cv_30d	date_commodity_key
2023-05-24	2023	5	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	13755	NULL	13755	NULL	NULL	NULL	13755	NULL	2023-05-24_Ajwan
2023-05-26	2023	5	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	13750	3.54	13752.5	0.03	Low	3.54	13752.5	0.03	2023-05-26_Ajwan
2023-05-29	2023	5	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	13380	215.08	13628.33	1.58	Low	215.08	13628.33	1.58	2023-05-29_Ajwan
2023-05-31	2023	5	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	13125	306.88	13502.5	2.27	Low	306.88	13502.5	2.27	2023-05-31_Ajwan
2023-06-01	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	5125	3755.95	11827	31.76	High	3755.95	11827	31.76	2023-06-01_Ajwan
2023-06-02	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	13207	3406.33	12057	28.25	High	3406.33	12057	28.25	2023-06-02_Ajwan
2023-06-05	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	13530	3158.99	12267.43	25.75	High	3158.99	12267.43	25.75	2023-06-05_Ajwan
2023-06-06	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	12755	3102.61	12124.57	25.59	High	2929.73	12328.38	23.76	2023-06-06_Ajwan
2023-06-07	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	13255	3064.8	12053.86	25.43	High	2757.86	12431.33	22.18	2023-06-07_Ajwan
2023-06-08	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	12100	3010.19	11871	25.36	High	2602.25	12398.2	20.99	2023-06-08_Ajwan
