arrival_date	date_key	year	month	day	month_name	weekday	quarter
2020-01-01	20200101	2020	1	1	January	Wednesday	1
2020-01-02	20200102	2020	1	2	January	Thursday	1
2020-01-03	20200103	2020	1	3	January	Friday	1
2020-01-04	20200104	2020	1	4	January	Saturday	1
2020-01-05	20200105	2020	1	5	January	Sunday	1
2020-01-06	20200106	2020	1	6	January	Monday	1
2020-01-07	20200107	2020	1	7	January	Tuesday	1
2020-01-08	20200108	2020	1	8	January	Wednesday	1
2020-01-09	20200109	2020	1	9	January	Thursday	1
2020-01-10	20200110	2020	1	10	January	Friday	1
2020-01-11	20200111	2020	1	11	January	Saturday	1
2020-01-12	20200112	2020	1	12	January	Sunday	1
2020-01-13	20200113	2020	1	13	January	Monday	1
2020-01-14	20200114	2020	1	14	January	Tuesday	1
2020-01-15	20200115	2020	1	15	January	Wednesday	1
2020-01-16	20200116	2020	1	16	January	Thursday	1
2020-01-17	20200117	2020	1	17	January	Friday	1
2020-01-18	20200118	2020	1	18	January	Saturday	1
2020-01-19	20200119	2020	1	19	January	Sunday	1
2020-01-20	20200120	2020	1	20	January	Monday	1
2020-01-21	20200121	2020	1	21	January	Tuesday	1
2020-01-22	20200122	2020	1	22	January	Wednesday	1
2020-01-23	20200123	2020	1	23	January	Thursday	1
2020-01-24	20200124	2020	1	24	January	Friday	1
2020-01-25	20200125	2020	1	25	January	Saturday	1
2020-01-26	20200126	2020	1	26	January	Sunday	1
2020-01-27	20200127	2020	1	27	January	Monday	1
2020-01-28	20200128	2020	1	28	January	Tuesday	1
2020-01-29	20200129	2020	1	29	January	Wednesday	1
2020-01-30	20200130	2020	1	30	January	Thursday	1
2020-01-31	20200131	2020	1	31	January	Friday	1
2020-02-01	20200201	2020	2	1	February	Saturday	1
2020-02-02	20200202	2020	2	2	February	Sunday	1
2020-02-03	20200203	2020	2	3	February	Monday	1
2020-02-04	20200204	2020	2	4	February	Tuesday	1
2020-02-05	20200205	2020	2	5	February	Wednesday	1
2020-02-06	20200206	2020	2	6	February	Thursday	1
2020-02-07	20200207	2020	2	7	February	Friday	1
2020-02-08	20200208	2020	2	8	February	Saturday	1
2020-02-09	20200209	2020	2	9	February	Sunday	1
2020-02-10	20200210	2020	2	10	February	Monday	1
2020-02-11	20200211	2020	2	11	February	Tuesday	1
2020-02-12	20200212	2020	2	12	February	Wednesday	1
2020-02-13	20200213	2020	2	13	February	Thursday	1
2020-02-14	20200214	2020	2	14	February	Friday	1
2020-02-15	20200215	2020	2	15	February	Saturday	1
2020-02-16	20200216	2020	2	16	February	Sunday	1
2020-02-17	20200217	2020	2	17	February	Monday	1
2020-02-18	20200218	2020	2	18	February	Tuesday	1
2020-02-19	20200219	2020	2	19	February	Wednesday	1
2020-02-20	20200220	2020	2	20	February	Thursday	1
2020-02-21	20200221	2020	2	21	February	Friday	1
2020-02-22	20200222	2020	2	22	February	Saturday	1
2020-02-23	20200223	2020	2	23	February	Sunday	1
2020-02-24	20200224	2020	2	24	February	Monday	1
2020-02-25	20200225	2020	2	25	February	Tuesday	1
2020-02-26	20200226	2020	2	26	February	Wednesday	1
2020-02-27	20200227	2020	2	27	February	Thursday	1
2020-02-28	20200228	2020	2	28	February	Friday	1
2020-02-29	20200229	2020	2	29	February	Saturday	1
2020-03-01	20200301	2020	3	1	March	Sunday	1
2020-03-02	20200302	2020	3	2	March	Monday	1
2020-03-03	20200303	2020	3	3	March	Tuesday	1
2020-03-04	20200304	2020	3	4	March	Wednesday	1
2020-03-05	20200305	2020	3	5	March	Thursday	1
2020-03-06	20200306	2020	3	6	March	Friday	1
2020-03-07	20200307	2020	3	7	March	Saturday	1
2020-03-08	20200308	2020	3	8	March	Sunday	1
2020-03-09	20200309	2020	3	9	March	Monday	1
2020-03-10	20200310	2020	3	10	March	Tuesday	1
2020-03-11	20200311	2020	3	11	March	Wednesday	1
2020-03-12	20200312	2020	3	12	March	Thursday	1
2020-03-13	20200313	2020	3	13	March	Friday	1
2020-03-14	20200314	2020	3	14	March	Saturday	1
2020-03-15	20200315	2020	3	15	March	Sunday	1
2020-03-16	20200316	2020	3	16	March	Monday	1
2020-03-17	20200317	2020	3	17	March	Tuesday	1
2020-03-18	20200318	2020	3	18	March	Wednesday	1
2020-03-19	20200319	2020	3	19	March	Thursday	1
2020-03-20	20200320	2020	3	20	March	Friday	1
2020-03-21	20200321	2020	3	21	March	Saturday	1
2020-03-22	20200322	2020	3	22	March	Sunday	1
2020-03-23	20200323	2020	3	23	March	Monday	1
2020-03-24	20200324	2020	3	24	March	Tuesday	1
2020-03-25	20200325	2020	3	25	March	Wednesday	1
2020-03-26	20200326	2020	3	26	March	Thursday	1
2020-03-27	20200327	2020	3	27	March	Friday	1
2020-03-28	20200328	2020	3	28	March	Saturday	1
2020-03-29	20200329	2020	3	29	March	Sunday	1
2020-03-30	20200330	2020	3	30	March	Monday	1
2020-03-31	20200331	2020	3	31	March	Tuesday	1
2020-04-01	20200401	2020	4	1	April	Wednesday	2
2020-04-02	20200402	2020	4	2	April	Thursday	2
2020-04-03	20200403	2020	4	3	April	Friday	2
2020-04-04	20200404	2020	4	4	April	Saturday	2
2020-04-05	20200405	2020	4	5	April	Sunday	2
2020-04-06	20200406	2020	4	6	April	Monday	2
2020-04-07	20200407	2020	4	7	April	Tuesday	2
2020-04-08	20200408	2020	4	8	April	Wednesday	2
2020-04-09	20200409	2020	4	9	April	Thursday	2
