location_key	state	district	market
0	Gujarat	Ahmedabad	Bavla
1	Gujarat	Ahmedabad	Dholka
2	Gujarat	Ahmedabad	Dhandhuka Apmc
3	Gujarat	Ahmedabad	Ahmedabad(fruit Market, Naroda)
4	Gujarat	Ahmedabad	Ahmedabad(rajnagar Sub Yard)
5	Gujarat	Ahmedabad	Viramgam Apmc
6	Gujarat	Ahmedabad	Ahmedabad
7	Gujarat	Ahmedabad	Sanad
8	Gujarat	Ahmedabad	Ahmedabad(chimanbhai Patal Market Vasana) Apmc
9	Gujarat	Ahmedabad	Mandal Apmc
10	Gujarat	Ahmedabad	Sanad Apmc
11	Gujarat	Ahmedabad	Dholka Apmc
12	Gujarat	Ahmedabad	Ahmedabad(chimanbhai Patal Market Vasana)
13	Gujarat	Ahmedabad	Viramgam
14	Gujarat	Ahmedabad	Ahmedabad(manekchowk)
15	Gujarat	Ahmedabad	Ahmedabad Apmc
16	Gujarat	Ahmedabad	Mandal
17	Gujarat	Ahmedabad	Dhandhuka
