location_key	commodity_key	date_key	min_price	max_price	modal_price
6	8	20200106	1000	2500	1800
6	8	20200107	1000	2500	1800
6	8	20200109	800	2500	1700
6	8	20200110	700	2000	1450
6	8	20200111	700	2000	1400
6	8	20200113	700	2000	1400
6	8	20200115	700	2000	1400
6	8	20200117	700	2500	1700
6	8	20200118	800	1700	1300
6	8	20200120	800	2000	1500
6	8	20200121	800	2000	1500
6	8	20200122	1000	2000	1600
6	8	20200123	1000	2000	1600
6	8	20200124	1000	2000	1600
6	8	20200125	800	2000	1500
6	8	20200127	800	2000	1500
6	8	20200128	800	2000	1500
6	8	20200129	700	2500	1700
6	8	20200130	700	2500	1700
6	8	20200131	800	2000	1500
6	8	20200304	800	3000	2000
6	8	20200305	800	3000	2000
6	8	20200306	700	3000	1950
6	8	20200307	800	3000	2000
6	8	20200309	800	2500	1750
6	8	20200311	800	2800	1900
6	8	20200313	800	2800	1900
6	8	20200314	800	2800	2000
6	8	20200316	1000	2500	1850
6	8	20200320	800	3000	2000
6	8	20200321	2000	3000	2600
6	8	20201109	1200	2000	1700
6	8	20201110	1000	2000	1600
6	8	20201111	1000	2000	1600
6	8	20201112	1000	2000	1600
6	8	20201113	1000	2500	1850
6	8	20201119	1500	2000	1850
6	8	20201120	1000	2500	1850
6	8	20201123	1200	2500	1900
6	8	20201124	1500	2200	1950
6	8	20201125	1200	3000	2200
6	8	20201126	1200	3000	2000
6	8	20201127	1500	2200	2000
6	8	20201214	1200	3500	2500
6	8	20201215	1500	3000	2500
6	8	20201216	1500	2500	2250
6	8	20201217	1500	2500	2100
6	8	20201218	1500	3000	2300
6	8	20201219	1800	2500	2250
6	8	20201221	1500	3000	2350
6	8	20201222	2000	3200	2700
6	8	20201228	1500	3000	2500
6	8	20201229	1500	3000	2300
6	8	20201230	1500	2800	2200
6	8	20201231	1500	2800	2200
6	8	20210104	1500	3000	2350
6	8	20210105	1500	3000	2300
6	8	20210106	1500	3000	2350
6	8	20210107	1200	3500	2450
6	8	20210108	1500	3200	2650
6	8	20210109	1500	3500	3100
6	8	20210111	2000	3500	2850
6	8	20210112	2000	3500	2850
6	8	20210113	2000	3500	3000
6	8	20210116	1800	3500	2800
6	8	20210118	1800	3500	3000
6	8	20210119	1800	3500	2800
6	8	20210120	1800	3500	3000
6	8	20210121	1800	3500	2850
6	8	20210122	1800	3500	2800
6	8	20210128	2000	3000	2650
6	8	20210129	2000	3500	2800
6	8	20210130	2000	3500	2800
6	8	20210203	2000	3500	2850
6	8	20210204	1500	3000	2500
6	8	20210205	2000	3500	3000
6	8	20210206	2500	3800	3200
6	8	20210208	2000	3500	3000
6	8	20210209	2500	3800	3350
6	8	20210210	2000	3500	3000
6	8	20210211	2000	3500	2900
6	8	20210212	2000	3000	2750
6	8	20210213	2500	3500	3100
6	8	20210215	2000	3500	3000
6	8	20210216	2500	3500	3250
6	8	20210217	2500	3500	3250
6	8	20210218	2500	4000	3350
6	8	20210219	2500	3800	3300
6	8	20210222	3000	4000	3700
6	8	20210223	3000	4000	3600
6	8	20210224	3000	4000	3650
6	8	20210225	3000	3800	3500
6	8	20210226	2500	3500	3250
6	8	20210227	3000	4000	3650
6	8	20210302	3500	4000	3850
6	8	20210303	3000	4000	3600
6	8	20210305	3200	4000	3700
6	8	20210306	3500	4000	3800
6	8	20210308	3500	4000	3800
6	8	20210309	3500	4000	3850
