arrival_date	commodity	commodity_code	district	grade	market	max_price	min_price	modal_price	state	variety	silver_load_timestamp
2020-01-06	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2500	1000	1800	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-07	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2500	1000	1800	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-09	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2500	800	1700	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-10	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2000	700	1450	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-11	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2000	700	1400	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-13	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2000	700	1400	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-15	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2000	700	1400	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-17	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2500	700	1700	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-18	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	1700	800	1300	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-20	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2000	800	1500	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-21	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2000	800	1500	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-22	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2000	1000	1600	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-23	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2000	1000	1600	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-24	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2000	1000	1600	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-25	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2000	800	1500	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-27	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2000	800	1500	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-28	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2000	800	1500	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-29	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2500	700	1700	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-30	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2500	700	1700	Gujarat	Other	2026-06-26 01:32:14.530586
2020-01-31	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2000	800	1500	Gujarat	Other	2026-06-26 01:32:14.530586
2020-03-04	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	800	2000	Gujarat	Other	2026-06-26 01:32:14.530586
2020-03-05	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	800	2000	Gujarat	Other	2026-06-26 01:32:14.530586
2020-03-06	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	700	1950	Gujarat	Other	2026-06-26 01:32:14.530586
2020-03-07	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	800	2000	Gujarat	Other	2026-06-26 01:32:14.530586
2020-03-09	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2500	800	1750	Gujarat	Other	2026-06-26 01:32:14.530586
