MaintenanceID,EquipmentID,StartTime,EndTime,MaintenanceType,FailureReason,DowntimeHours,Cost
M00001,E010,2026-05-24 13:00:00,2026-05-24 19:00:00,Preventive,Routine,6.0,46461
M00002,QC01,2025-09-28 08:00:00,2025-09-28 15:00:00,Corrective,Routine,7.0,63449
M00003,E015,2026-06-28 01:00:00,2026-06-28 03:00:00,Preventive,Mechanical Wear,2.0,94280
M00004,E001,2026-02-12 08:00:00,2026-02-12 17:00:00,Corrective,Mechanical Wear,9.0,59458
M00005,QC01,2025-12-03 07:00:00,2025-12-03 17:00:00,Preventive,Electrical Failure,10.0,95464
M00006,QC03,2026-08-18 02:00:00,2026-08-18 12:00:00,Corrective,Mechanical Wear,10.0,43569
M00007,QC08,2026-06-20 11:00:00,2026-06-20 15:00:00,Preventive,Hydraulic Fault,4.0,22334
M00008,E018,2026-05-08 05:00:00,2026-05-08 12:00:00,Corrective,Hydraulic Fault,7.0,34820
M00009,E002,2025-07-04 17:00:00,2025-07-05 01:00:00,Preventive,Routine,8.0,24812
M00010,E016,2025-03-27 12:00:00,2025-03-27 22:00:00,Preventive,Electrical Failure,10.0,53764
M00011,QC06,2025-01-24 00:00:00,2025-01-24 04:00:00,Preventive,Electrical Failure,4.0,11747
M00012,QC06,2026-08-01 17:00:00,2026-08-01 20:00:00,Preventive,Electrical Failure,3.0,64154
M00013,E013,2025-10-14 01:00:00,2025-10-14 05:00:00,Corrective,Hydraulic Fault,4.0,50904
M00014,QC02,2026-01-15 22:00:00,2026-01-16 04:00:00,Corrective,Hydraulic Fault,6.0,35466
M00015,E018,2025-11-30 07:00:00,2025-11-30 12:00:00,Corrective,Mechanical Wear,5.0,81331
M00016,QC01,2025-02-08 12:00:00,2025-02-08 22:00:00,Corrective,Electrical Failure,10.0,44463
M00017,QC04,2026-01-17 03:00:00,2026-01-17 04:00:00,Corrective,Routine,1.0,48344
M00018,QC08,2026-06-11 13:00:00,2026-06-11 14:00:00,Preventive,Mechanical Wear,1.0,62861
M00019,E015,2025-12-06 01:00:00,2025-12-06 05:00:00,Preventive,Mechanical Wear,4.0,20899
M00020,E003,2026-02-21 00:00:00,2026-02-21 05:00:00,Preventive,Hydraulic Fault,5.0,29945
M00021,E010,2025-08-16 03:00:00,2025-08-16 11:00:00,Preventive,Routine,8.0,32492
M00022,E014,2025-05-01 00:00:00,2025-05-01 01:00:00,Preventive,Routine,1.0,13357
M00023,E019,2026-06-09 11:00:00,2026-06-09 16:00:00,Preventive,Electrical Failure,5.0,33951
M00024,E010,2025-03-05 03:00:00,2025-03-05 06:00:00,Preventive,Mechanical Wear,3.0,22515
M00025,QC05,2026-08-11 19:00:00,2026-08-12 02:00:00,Preventive,Hydraulic Fault,7.0,87894
M00026,QC07,2026-05-01 06:00:00,2026-05-01 07:00:00,Preventive,Electrical Failure,1.0,59500
M00027,E012,2026-01-18 11:00:00,2026-01-18 22:00:00,Corrective,Electrical Failure,11.0,86606
M00028,E018,2026-04-22 06:00:00,2026-04-22 14:00:00,Preventive,Hydraulic Fault,8.0,35233
M00029,E008,2026-01-30 01:00:00,2026-01-30 02:00:00,Preventive,Mechanical Wear,1.0,64701
M00030,QC05,2026-07-13 07:00:00,2026-07-13 10:00:00,Preventive,Hydraulic Fault,3.0,69253
M00031,E006,2025-02-16 05:00:00,2025-02-16 12:00:00,Preventive,Hydraulic Fault,7.0,59422
M00032,E010,2026-04-01 22:00:00,2026-04-02 06:00:00,Preventive,Mechanical Wear,8.0,24180
M00033,E018,2025-10-14 10:00:00,2025-10-14 22:00:00,Corrective,Electrical Failure,12.0,46233
M00034,QC05,2026-02-01 03:00:00,2026-02-01 14:00:00,Preventive,Mechanical Wear,11.0,27109
M00035,QC04,2025-12-16 16:00:00,2025-12-17 01:00:00,Preventive,Hydraulic Fault,9.0,46295
M00036,E019,2025-05-13 17:00:00,2025-05-13 18:00:00,Corrective,Hydraulic Fault,1.0,27038
M00037,QC05,2025-01-04 07:00:00,2025-01-04 13:00:00,Preventive,Electrical Failure,6.0,67660
M00038,E015,2025-10-21 00:00:00,2025-10-21 07:00:00,Preventive,Routine,7.0,62392
M00039,E008,2026-08-25 09:00:00,2026-08-25 14:00:00,Corrective,Electrical Failure,5.0,12846
M00040,QC06,2026-03-07 14:00:00,2026-03-07 18:00:00,Preventive,Electrical Failure,4.0,45939
M00041,QC02,2025-06-17 19:00:00,2025-06-17 21:00:00,Preventive,Hydraulic Fault,2.0,61818
M00042,E002,2026-06-11 07:00:00,2026-06-11 11:00:00,Corrective,Routine,4.0,95910
M00043,QC03,2026-03-26 07:00:00,2026-03-26 08:00:00,Preventive,Electrical Failure,1.0,44651
M00044,QC01,2025-08-25 03:00:00,2025-08-25 05:00:00,Preventive,Hydraulic Fault,2.0,34089
M00045,E017,2025-05-12 20:00:00,2025-05-13 04:00:00,Corrective,Electrical Failure,8.0,99316
M00046,QC04,2025-02-12 07:00:00,2025-02-12 18:00:00,Preventive,Mechanical Wear,11.0,51299
M00047,QC02,2025-01-21 11:00:00,2025-01-21 19:00:00,Preventive,Routine,8.0,82451
M00048,E010,2026-02-10 14:00:00,2026-02-10 20:00:00,Corrective,Hydraulic Fault,6.0,46813
M00049,E017,2025-04-09 16:00:00,2025-04-09 21:00:00,Preventive,Electrical Failure,5.0,94844
M00050,E008,2025-03-15 20:00:00,2025-03-16 08:00:00,Preventive,Hydraulic Fault,12.0,93901
M00051,QC01,2025-04-23 09:00:00,2025-04-23 17:00:00,Corrective,Electrical Failure,8.0,41808
M00052,QC04,2025-10-07 13:00:00,2025-10-07 15:00:00,Preventive,Routine,2.0,14937
M00053,QC07,2025-05-31 12:00:00,2025-05-31 20:00:00,Preventive,Hydraulic Fault,8.0,63195
M00054,E013,2025-09-30 12:00:00,2025-09-30 15:00:00,Preventive,Routine,3.0,62611
M00055,E006,2025-11-16 03:00:00,2025-11-16 14:00:00,Preventive,Routine,11.0,51841
M00056,E002,2026-02-23 03:00:00,2026-02-23 04:00:00,Preventive,Routine,1.0,67298
M00057,QC02,2025-12-23 01:00:00,2025-12-23 06:00:00,Corrective,Hydraulic Fault,5.0,53989
M00058,E011,2026-06-30 10:00:00,2026-06-30 15:00:00,Preventive,Routine,5.0,40677
M00059,QC01,2025-06-04 20:00:00,2025-06-05 02:00:00,Preventive,Mechanical Wear,6.0,30786
M00060,QC03,2025-01-14 00:00:00,2025-01-14 05:00:00,Corrective,Routine,5.0,21260
M00061,QC04,2025-10-08 09:00:00,2025-10-08 12:00:00,Preventive,Hydraulic Fault,3.0,21803
M00062,E009,2026-05-06 23:00:00,2026-05-07 09:00:00,Corrective,Electrical Failure,10.0,83844
M00063,QC06,2025-08-30 04:00:00,2025-08-30 09:00:00,Corrective,Electrical Failure,5.0,71586
M00064,E018,2026-07-05 11:00:00,2026-07-05 13:00:00,Corrective,Routine,2.0,56835
M00065,QC08,2025-03-26 18:00:00,2025-03-27 04:00:00,Corrective,Mechanical Wear,10.0,38368
M00066,E019,2025-10-14 16:00:00,2025-10-14 21:00:00,Preventive,Mechanical Wear,5.0,32758
M00067,E006,2025-07-07 21:00:00,2025-07-08 08:00:00,Corrective,Routine,11.0,20507
M00068,QC03,2025-05-13 08:00:00,2025-05-13 18:00:00,Corrective,Electrical Failure,10.0,85827
M00069,E007,2026-08-18 19:00:00,2026-08-19 01:00:00,Preventive,Routine,6.0,57385
M00070,E014,2026-04-29 05:00:00,2026-04-29 07:00:00,Preventive,Electrical Failure,2.0,70709
M00071,E018,2026-08-24 22:00:00,2026-08-25 08:00:00,Corrective,Electrical Failure,10.0,10749
M00072,E003,2025-12-21 01:00:00,2025-12-21 08:00:00,Preventive,Mechanical Wear,7.0,11492
M00073,E017,2025-02-21 17:00:00,2025-02-21 19:00:00,Corrective,Hydraulic Fault,2.0,13467
M00074,QC06,2025-09-14 10:00:00,2025-09-14 14:00:00,Corrective,Hydraulic Fault,4.0,39660
M00075,QC03,2025-07-03 15:00:00,2025-07-04 02:00:00,Corrective,Electrical Failure,11.0,33732
M00076,E004,2025-06-10 03:00:00,2025-06-10 09:00:00,Preventive,Routine,6.0,22306
M00077,E015,2026-06-25 09:00:00,2026-06-25 17:00:00,Corrective,Routine,8.0,24200
M00078,E018,2026-02-11 20:00:00,2026-02-12 01:00:00,Preventive,Electrical Failure,5.0,29602
M00079,E017,2025-09-10 01:00:00,2025-09-10 03:00:00,Corrective,Mechanical Wear,2.0,47473
M00080,QC07,2026-05-10 10:00:00,2026-05-10 12:00:00,Corrective,Routine,2.0,58331
M00081,E014,2025-07-19 11:00:00,2025-07-19 16:00:00,Corrective,Electrical Failure,5.0,49040
M00082,E004,2026-01-01 04:00:00,2026-01-01 09:00:00,Corrective,Routine,5.0,58285
M00083,E001,2026-08-19 04:00:00,2026-08-19 09:00:00,Corrective,Routine,5.0,57121
M00084,QC01,2026-07-11 05:00:00,2026-07-11 15:00:00,Preventive,Routine,10.0,35319
M00085,E010,2026-05-20 03:00:00,2026-05-20 05:00:00,Corrective,Hydraulic Fault,2.0,82173
M00086,E009,2026-06-02 11:00:00,2026-06-02 23:00:00,Corrective,Routine,12.0,90157
M00087,E019,2026-07-25 22:00:00,2026-07-26 06:00:00,Preventive,Mechanical Wear,8.0,33172
M00088,E009,2026-05-11 22:00:00,2026-05-12 05:00:00,Corrective,Routine,7.0,33766
M00089,E009,2026-02-26 18:00:00,2026-02-27 00:00:00,Preventive,Mechanical Wear,6.0,62772
M00090,QC08,2026-05-25 13:00:00,2026-05-25 22:00:00,Corrective,Mechanical Wear,9.0,87974
M00091,E003,2025-02-23 09:00:00,2025-02-23 13:00:00,Preventive,Electrical Failure,4.0,17264
M00092,E015,2026-09-01 18:00:00,2026-09-02 03:00:00,Corrective,Electrical Failure,9.0,66311
M00093,QC07,2026-02-01 11:00:00,2026-02-01 15:00:00,Preventive,Electrical Failure,4.0,66549
M00094,QC06,2025-03-08 02:00:00,2025-03-08 05:00:00,Preventive,Hydraulic Fault,3.0,90326
M00095,QC01,2025-03-30 15:00:00,2025-03-31 01:00:00,Corrective,Mechanical Wear,10.0,27319
M00096,E005,2025-02-02 10:00:00,2025-02-02 18:00:00,Preventive,Hydraulic Fault,8.0,48124
M00097,E012,2025-12-13 04:00:00,2025-12-13 09:00:00,Corrective,Routine,5.0,17083
M00098,E011,2025-07-13 16:00:00,2025-07-14 00:00:00,Preventive,Mechanical Wear,8.0,88060
M00099,E019,2026-05-21 10:00:00,2026-05-21 22:00:00,Preventive,Electrical Failure,12.0,21054
M00100,E012,2026-04-13 19:00:00,2026-04-13 22:00:00,Preventive,Routine,3.0,90467
M00101,E010,2026-01-14 19:00:00,2026-01-15 01:00:00,Preventive,Mechanical Wear,6.0,49413
M00102,E013,2026-07-24 08:00:00,2026-07-24 20:00:00,Corrective,Hydraulic Fault,12.0,89083
M00103,E016,2025-11-15 08:00:00,2025-11-15 10:00:00,Corrective,Mechanical Wear,2.0,32543
M00104,E004,2025-01-28 06:00:00,2025-01-28 17:00:00,Corrective,Electrical Failure,11.0,22442
