ContainerID	VesselCallID	ImporterID	ImporterName	Industry	YardBlockID	Terminal	Zone	ArrivalTime	YardInTime	CustomsSubmitTime	CustomsApproveTime	YardOutTime	ExitTime	Status	IsCustomsCleared	IsExited	UnloadToYardHrs	YardToCustomsSubmitHrs	CustomsHoldHrs	ApprovalToPickupHrs	YardOutToExitHrs	TotalDwellHrs	ArrivalDateKey	LoadDate
C000002	VC00885	I034	Importer 34	Retail	Y05	Terminal A	Export	2026-10-25 01:49:00.000000	2026-10-25 04:20:00.000000	2026-10-25 07:18:00.000000	2026-10-25 17:18:00.000000	2026-10-25 19:18:00.000000	2026-10-25 19:50:00.000000	Exited	1	1	2.52	2.97	10	2	0.53	18.02	20261025	2026-06-25
C000007	VC00204	I009	Importer 9	Construction	Y03	Terminal A	Export	2025-04-02 23:27:00.000000	2025-04-03 01:09:00.000000	2025-04-03 02:23:00.000000	2025-04-03 04:23:00.000000	2025-04-03 20:23:00.000000	2025-04-03 21:06:00.000000	Exited	1	1	1.7	1.23	2	16	0.72	21.65	20250402	2026-06-25
C000019	VC00420	I029	Importer 29	Automotive	Y04	Terminal A	Import	2026-11-05 16:47:00.000000	2026-11-05 19:08:00.000000	2026-11-05 20:07:00.000000	2026-11-07 02:07:00.000000	2026-11-08 18:07:00.000000	2026-11-08 19:49:00.000000	Exited	1	1	2.35	0.98	30	40	1.7	75.03	20261105	2026-06-25
C000020	VC00258	I028	Importer 28	Construction	Y04	Terminal A	Import	2026-10-15 01:43:00.000000	2026-10-15 03:42:00.000000	2026-10-15 05:26:00.000000	NULL	NULL	NULL	In Yard	0	0	1.98	1.73	NULL	NULL	NULL	NULL	20261015	2026-06-25
C000025	VC00981	I018	Importer 18	Automotive	Y03	Terminal A	Export	2025-06-09 16:02:00.000000	2025-06-09 18:18:00.000000	2025-06-09 21:38:00.000000	2025-06-10 23:38:00.000000	2025-06-13 14:38:00.000000	2025-06-13 15:58:00.000000	Exited	1	1	2.27	3.33	26	63	1.33	95.93	20250609	2026-06-25
C000031	VC00500	I050	Importer 50	Retail	Y05	Terminal A	Export	2025-10-10 09:12:00.000000	2025-10-10 11:20:00.000000	2025-10-10 13:47:00.000000	2025-10-11 01:47:00.000000	2025-10-14 01:47:00.000000	2025-10-14 03:26:00.000000	Exited	1	1	2.13	2.45	12	72	1.65	90.23	20251010	2026-06-25
C000033	VC00838	I036	Importer 36	Retail	Y03	Terminal A	Export	2026-04-01 05:51:00.000000	2026-04-01 08:11:00.000000	2026-04-01 11:29:00.000000	2026-04-02 22:29:00.000000	2026-04-05 11:29:00.000000	2026-04-05 12:44:00.000000	Exited	1	1	2.33	3.3	35	61	1.25	102.88	20260401	2026-06-25
C000037	VC00205	I005	Importer 5	Pharmaceutical	Y05	Terminal A	Export	2025-02-14 05:28:00.000000	2025-02-14 06:45:00.000000	2025-02-14 08:18:00.000000	2025-02-15 04:18:00.000000	2025-02-15 15:18:00.000000	2025-02-15 17:01:00.000000	Exited	1	1	1.28	1.55	20	11	1.72	35.55	20250214	2026-06-25
C000040	VC00967	I045	Importer 45	Retail	Y04	Terminal A	Import	2025-06-30 09:13:00.000000	2025-06-30 11:54:00.000000	2025-06-30 14:03:00.000000	2025-06-30 21:03:00.000000	2025-07-03 12:03:00.000000	2025-07-03 12:30:00.000000	Exited	1	1	2.68	2.15	7	63	0.45	75.28	20250630	2026-06-25
C000041	VC00848	I040	Importer 40	Electronics	Y05	Terminal A	Export	2025-04-18 07:52:00.000000	2025-04-18 10:14:00.000000	2025-04-18 12:52:00.000000	2025-04-20 07:52:00.000000	2025-04-22 03:52:00.000000	2025-04-22 04:28:00.000000	Exited	1	1	2.37	2.63	43	44	0.6	92.6	20250418	2026-06-25
C000042	VC00179	I019	Importer 19	Pharmaceutical	Y05	Terminal A	Export	2025-02-06 12:06:00.000000	2025-02-06 14:12:00.000000	2025-02-06 15:33:00.000000	2025-02-06 20:33:00.000000	2025-02-09 17:33:00.000000	2025-02-09 18:15:00.000000	Exited	1	1	2.1	1.35	5	69	0.7	78.15	20250206	2026-06-25
