CalendarDate	DateKey	Year	Quarter	Month	MonthName	WeekOfYear	DayOfMonth	DayOfWeek	DayName	IsWeekend	YearMonth	YearQuarter	LoadDate
2025-01-01	20250101	2025	1	1	January	1	1	4	Wednesday	0	2025-01	2025-Q1	2026-06-25
2025-01-02	20250102	2025	1	1	January	1	2	5	Thursday	0	2025-01	2025-Q1	2026-06-25
2025-01-03	20250103	2025	1	1	January	1	3	6	Friday	0	2025-01	2025-Q1	2026-06-25
2025-01-04	20250104	2025	1	1	January	1	4	7	Saturday	1	2025-01	2025-Q1	2026-06-25
2025-01-05	20250105	2025	1	1	January	1	5	1	Sunday	1	2025-01	2025-Q1	2026-06-25
2025-01-06	20250106	2025	1	1	January	2	6	2	Monday	0	2025-01	2025-Q1	2026-06-25
2025-01-07	20250107	2025	1	1	January	2	7	3	Tuesday	0	2025-01	2025-Q1	2026-06-25
2025-01-08	20250108	2025	1	1	January	2	8	4	Wednesday	0	2025-01	2025-Q1	2026-06-25
2025-01-09	20250109	2025	1	1	January	2	9	5	Thursday	0	2025-01	2025-Q1	2026-06-25
2025-01-10	20250110	2025	1	1	January	2	10	6	Friday	0	2025-01	2025-Q1	2026-06-25
2025-01-11	20250111	2025	1	1	January	2	11	7	Saturday	1	2025-01	2025-Q1	2026-06-25
2025-01-12	20250112	2025	1	1	January	2	12	1	Sunday	1	2025-01	2025-Q1	2026-06-25
2025-01-13	20250113	2025	1	1	January	3	13	2	Monday	0	2025-01	2025-Q1	2026-06-25
2025-01-14	20250114	2025	1	1	January	3	14	3	Tuesday	0	2025-01	2025-Q1	2026-06-25
2025-01-15	20250115	2025	1	1	January	3	15	4	Wednesday	0	2025-01	2025-Q1	2026-06-25
2025-01-16	20250116	2025	1	1	January	3	16	5	Thursday	0	2025-01	2025-Q1	2026-06-25
2025-01-17	20250117	2025	1	1	January	3	17	6	Friday	0	2025-01	2025-Q1	2026-06-25
2025-01-18	20250118	2025	1	1	January	3	18	7	Saturday	1	2025-01	2025-Q1	2026-06-25
2025-01-19	20250119	2025	1	1	January	3	19	1	Sunday	1	2025-01	2025-Q1	2026-06-25
2025-01-20	20250120	2025	1	1	January	4	20	2	Monday	0	2025-01	2025-Q1	2026-06-25
2025-01-21	20250121	2025	1	1	January	4	21	3	Tuesday	0	2025-01	2025-Q1	2026-06-25
2025-01-22	20250122	2025	1	1	January	4	22	4	Wednesday	0	2025-01	2025-Q1	2026-06-25
2025-01-23	20250123	2025	1	1	January	4	23	5	Thursday	0	2025-01	2025-Q1	2026-06-25
2025-01-24	20250124	2025	1	1	January	4	24	6	Friday	0	2025-01	2025-Q1	2026-06-25
2025-01-25	20250125	2025	1	1	January	4	25	7	Saturday	1	2025-01	2025-Q1	2026-06-25
2025-01-26	20250126	2025	1	1	January	4	26	1	Sunday	1	2025-01	2025-Q1	2026-06-25
2025-01-27	20250127	2025	1	1	January	5	27	2	Monday	0	2025-01	2025-Q1	2026-06-25
2025-01-28	20250128	2025	1	1	January	5	28	3	Tuesday	0	2025-01	2025-Q1	2026-06-25
2025-01-29	20250129	2025	1	1	January	5	29	4	Wednesday	0	2025-01	2025-Q1	2026-06-25
2025-01-30	20250130	2025	1	1	January	5	30	5	Thursday	0	2025-01	2025-Q1	2026-06-25
2025-01-31	20250131	2025	1	1	January	5	31	6	Friday	0	2025-01	2025-Q1	2026-06-25
2025-02-01	20250201	2025	1	2	February	5	1	7	Saturday	1	2025-02	2025-Q1	2026-06-25
2025-02-02	20250202	2025	1	2	February	5	2	1	Sunday	1	2025-02	2025-Q1	2026-06-25
2025-02-03	20250203	2025	1	2	February	6	3	2	Monday	0	2025-02	2025-Q1	2026-06-25
2025-02-04	20250204	2025	1	2	February	6	4	3	Tuesday	0	2025-02	2025-Q1	2026-06-25
2025-02-05	20250205	2025	1	2	February	6	5	4	Wednesday	0	2025-02	2025-Q1	2026-06-25
2025-02-06	20250206	2025	1	2	February	6	6	5	Thursday	0	2025-02	2025-Q1	2026-06-25
2025-02-07	20250207	2025	1	2	February	6	7	6	Friday	0	2025-02	2025-Q1	2026-06-25
