VesselID	VesselName	ShippingLineID	VesselType	TEUCapacity	FlagCountry	RowHash	EffectiveStart	EffectiveEnd	IsCurrent	SurrogateKey	LoadDate
V001	MSC Vessel 1	SL002	Container	2909	Liberia	bf3757f4ec3b0374542af1f730be9d2e	2026-06-25	9999-12-31	1	0	2026-06-25
V002	COSCO Vessel 2	SL004	Container	6157	Denmark	a560d2173cf79db985c18c7598f8188f	2026-06-25	9999-12-31	1	1	2026-06-25
V003	Maersk Vessel 3	SL001	Container	13587	Marshall Islands	35361c9bdf9a8924607690d805c6cdcc	2026-06-25	9999-12-31	1	2	2026-06-25
V004	ONE Vessel 4	SL006	Container	12174	Singapore	04ec480fb06b686123598a0022b66903	2026-06-25	9999-12-31	1	3	2026-06-25
V005	MSC Vessel 5	SL002	Container	2988	Panama	cba1334a2b0b9de179376052c2d7f20b	2026-06-25	9999-12-31	1	4	2026-06-25
V006	Maersk Vessel 6	SL001	Container	6311	Marshall Islands	900ee755fcdba5870eb5c888fd8e59c5	2026-06-25	9999-12-31	1	5	2026-06-25
V007	MSC Vessel 7	SL002	Container	11695	Denmark	a18fb3d0326e2d462a53c22f783771a6	2026-06-25	9999-12-31	1	6	2026-06-25
V008	Hapag-Lloyd Vessel 8	SL005	Container	6111	Singapore	70f4f299838315a361d6ae56f133d9d4	2026-06-25	9999-12-31	1	7	2026-06-25
V009	Evergreen Vessel 9	SL007	Container	15761	Panama	72c085ecac33fa792ecdc452259bae08	2026-06-25	9999-12-31	1	8	2026-06-25
V010	ONE Vessel 10	SL006	Container	13938	Singapore	bb719b008088c323185ddc8123ba17da	2026-06-25	9999-12-31	1	9	2026-06-25
V011	CMA CGM Vessel 11	SL003	Container	7052	Denmark	7ea2ea73b913d15eae58f267050958ac	2026-06-25	9999-12-31	1	10	2026-06-25
V012	Maersk Vessel 12	SL001	Container	15009	Liberia	a6022904a512cead14fb3855d2999976	2026-06-25	9999-12-31	1	11	2026-06-25
V013	Hapag-Lloyd Vessel 13	SL005	Container	4019	Singapore	6f5f02d2146ecc0e773857bc426afdfc	2026-06-25	9999-12-31	1	12	2026-06-25
V014	CMA CGM Vessel 14	SL003	Container	8381	Liberia	fe6e8e9f93cfa9f1be97113096ecfeaa	2026-06-25	9999-12-31	1	13	2026-06-25
V015	MSC Vessel 15	SL002	Container	15723	Panama	a79676c130291c0a60f4bd984d3fdb61	2026-06-25	9999-12-31	1	14	2026-06-25
V016	CMA CGM Vessel 16	SL003	Container	11285	Panama	dca6451c831a1d3b6bec81d608e0cfab	2026-06-25	9999-12-31	1	15	2026-06-25
V017	MSC Vessel 17	SL002	Container	3791	Marshall Islands	d3de86f4ee17a0cced8936310cf2df48	2026-06-25	9999-12-31	1	16	2026-06-25
V018	COSCO Vessel 18	SL004	Container	16088	Marshall Islands	d3b3c5ec9efce4c683e03f8f68737265	2026-06-25	9999-12-31	1	17	2026-06-25
V019	CMA CGM Vessel 19	SL003	Container	11959	Denmark	1fc129886551ea630854013c9988058f	2026-06-25	9999-12-31	1	18	2026-06-25
V020	COSCO Vessel 20	SL004	Container	3250	Denmark	1fbe6e540b55b6bdc1ed4b1dc42dfb20	2026-06-25	9999-12-31	1	19	2026-06-25
V021	COSCO Vessel 21	SL004	Container	3807	Denmark	65b156db92dce2e594fd9ae0a98ac47d	2026-06-25	9999-12-31	1	20	2026-06-25
V022	ONE Vessel 22	SL006	Container	8727	Liberia	b68519564affe3cd6b5fcaae6e6ce89f	2026-06-25	9999-12-31	1	21	2026-06-25
V023	Maersk Vessel 23	SL001	Container	12915	Liberia	7863b53dccec0fab7c1df99392482c18	2026-06-25	9999-12-31	1	22	2026-06-25
V024	CMA CGM Vessel 24	SL003	Container	8565	Liberia	11496386dc520561c4050bc0d2ece1be	2026-06-25	9999-12-31	1	23	2026-06-25
V025	ONE Vessel 25	SL006	Container	13480	Liberia	e25a2531369cba187dfb70878966a02e	2026-06-25	9999-12-31	1	24	2026-06-25
V026	ONE Vessel 26	SL006	Container	12480	Denmark	94540637db0c97e677c5b088faefef7b	2026-06-25	9999-12-31	1	25	2026-06-25
V027	Evergreen Vessel 27	SL007	Container	5177	Singapore	20b84b243bc0464625fb5e474b70affc	2026-06-25	9999-12-31	1	26	2026-06-25
V028	ONE Vessel 28	SL006	Container	6922	Marshall Islands	a4ba9dc24850028cb6ad1c81825ea703	2026-06-25	9999-12-31	1	27	2026-06-25
V029	MSC Vessel 29	SL002	Container	13716	Liberia	96382d3bba0116084e8d0886c7c239db	2026-06-25	9999-12-31	1	28	2026-06-25
V030	Hapag-Lloyd Vessel 30	SL005	Container	6252	Panama	e88f95aef8d67c8bf456c44fb3fbc487	2026-06-25	9999-12-31	1	29	2026-06-25
