CalendarDate	Terminal	ContainersArrived	ContainersExited	AvgDwellHrs	AvgCustomsHoldHrs	AvgUnloadToYardHrs	AvgCraneMovesPerHour	AvgCraneUtilisationPct	TotalCraneDowntimeMins	TotalCraneMoves	TotalGateTxns	AvgGateProcessingMins	PeakHourTxns	InboundTxns	OutboundTxns	TotalMaintenanceDowntimeHrs	TotalMaintenanceCost	MaintenanceEvents	CorrectiveEvents	DateKey	LoadDate
2025-01-01	Terminal A	2	2	71.69	16	0.78	8.21	89.98	165	207	8	51.13	3	5	3	NULL	NULL	NULL	NULL	20250101	2026-06-25
2025-01-02	Terminal A	14	14	58.84	22.29	1.85	9.92	89.39	109	148	4	37	2	1	3	NULL	NULL	NULL	NULL	20250102	2026-06-25
2025-01-03	Terminal A	12	8	76.29	29.13	1.37	8.77	86.07	108	92	16	46.38	4	8	8	NULL	NULL	NULL	NULL	20250103	2026-06-25
2025-01-04	Terminal A	16	13	59.34	24.38	1.54	8.8	93.59	28	60	9	60.33	3	3	6	NULL	NULL	NULL	NULL	20250104	2026-06-25
2025-01-05	Terminal A	3	2	88.38	37.5	1.62	NULL	NULL	NULL	NULL	5	52	2	3	2	NULL	NULL	NULL	NULL	20250105	2026-06-25
2025-01-06	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	10	63.3	6	6	4	11	47249	1	0	20250106	2026-06-25
2025-01-07	Terminal A	19	18	66.69	23.78	1.85	9.64	84.08	145	123	10	54	7	5	5	NULL	NULL	NULL	NULL	20250107	2026-06-25
2025-01-08	Terminal A	5	5	81.36	21.6	1.26	NULL	NULL	NULL	NULL	18	47.22	3	10	8	NULL	NULL	NULL	NULL	20250108	2026-06-25
2025-01-09	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	12	42.5	5	5	7	3	66238	1	1	20250109	2026-06-25
2025-01-10	Terminal A	23	23	60.03	20.61	1.54	6.11	92.4	117	127	14	58.43	1	5	9	NULL	NULL	NULL	NULL	20250110	2026-06-25
