VesselCallID	Terminal	TotalMovesCompleted	TotalActiveMinutes	TotalDowntimeMinutes	CranesDeployed	OperationStart	OperationEnd	MovesPerHour	CraneUtilisationPct	OperationDurationHours	OperationDateKey	LoadDate
VC00228	Terminal A	31	308	21	1	2025-03-11 04:58:00.000000	2025-03-11 04:58:00.000000	6.04	93.62	0	20250311	2026-06-25
VC00637	Terminal A	142	712	130	1	2025-01-23 16:13:00.000000	2025-01-23 16:13:00.000000	11.97	84.56	0	20250123	2026-06-25
VC00266	Terminal A	100	868	80	1	2025-05-11 07:04:00.000000	2025-05-11 07:04:00.000000	6.91	91.56	0	20250511	2026-06-25
VC00392	Terminal A	50	314	43	1	2025-07-15 02:05:00.000000	2025-07-15 02:05:00.000000	9.55	87.96	0	20250715	2026-06-25
VC00510	Terminal A	87	747	78	1	2026-10-12 15:33:00.000000	2026-10-12 15:33:00.000000	6.99	90.55	0	20261012	2026-06-25
VC00779	Terminal A	53	417	26	1	2026-06-13 14:45:00.000000	2026-06-13 14:45:00.000000	7.63	94.13	0	20260613	2026-06-25
VC00404	Terminal A	134	673	98	2	2025-10-05 11:49:00.000000	2025-10-05 11:49:00.000000	11.95	87.29	0	20251005	2026-06-25
VC00715	Terminal A	134	1193	157	2	2026-06-20 19:06:00.000000	2026-06-20 19:06:00.000000	6.74	88.37	0	20260620	2026-06-25
VC00155	Terminal A	63	449	41	1	2026-03-18 09:11:00.000000	2026-03-18 09:11:00.000000	8.42	91.63	0	20260318	2026-06-25
VC00164	Terminal A	26	427	80	1	2025-05-10 03:47:00.000000	2025-05-10 03:47:00.000000	3.65	84.22	0	20250510	2026-06-25
VC00313	Terminal A	43	355	67	1	2026-07-09 12:25:00.000000	2026-07-09 12:25:00.000000	7.27	84.12	0	20260709	2026-06-25
VC00064	Terminal A	52	378	74	1	2026-08-23 15:33:00.000000	2026-08-23 15:33:00.000000	8.25	83.63	0	20260823	2026-06-25
