ImporterID,ImporterName,Industry
I001,Importer 1,Construction
I002,Importer 2,Pharmaceutical
I003,Importer 3,Retail
I004,Importer 4,Automotive
I005,Importer 5,Pharmaceutical
I006,Importer 6,Pharmaceutical
I007,Importer 7,Construction
I008,Importer 8,Electronics
I009,Importer 9,Construction
I010,Importer 10,Retail
I011,Importer 11,Automotive
I012,Importer 12,Automotive
I013,Importer 13,Retail
I014,Importer 14,Automotive
I015,Importer 15,Construction
I016,Importer 16,Construction
I017,Importer 17,Retail
I018,Importer 18,Automotive
I019,Importer 19,Pharmaceutical
I020,Importer 20,Electronics
I021,Importer 21,Pharmaceutical
I022,Importer 22,Construction
I023,Importer 23,Construction
I024,Importer 24,Construction
I025,Importer 25,Construction
I026,Importer 26,Electronics
I027,Importer 27,Retail
I028,Importer 28,Construction
I029,Importer 29,Automotive
I030,Importer 30,Electronics
I031,Importer 31,Construction
I032,Importer 32,Automotive
I033,Importer 33,Construction
I034,Importer 34,Retail
I035,Importer 35,Electronics
I036,Importer 36,Retail
I037,Importer 37,Electronics
I038,Importer 38,Construction
I039,Importer 39,Construction
I040,Importer 40,Electronics
I041,Importer 41,Automotive
I042,Importer 42,Automotive
I043,Importer 43,Construction
I044,Importer 44,Construction
I045,Importer 45,Retail
I046,Importer 46,Construction
I047,Importer 47,Electronics
I048,Importer 48,Automotive
I049,Importer 49,Automotive
I050,Importer 50,Retail
