CraneEventID	CraneID	CraneType	Terminal	CommissionDate	CraneAgeYearsAtEvent	VesselCallID	EventTime	EventDateKey	ShiftName	ActiveMinutes	DowntimeMinutes	MovesCompleted	MovesPerHour	UtilisationPct	DowntimeRatio	LoadDate
CE00002	QC03	Quay Crane	Terminal A	2025-02-13	0.4	VC00191	2025-07-02 03:52:00.000000	20250702	Morning	420	38	78	11.14	91.7	0.083	2026-06-25
CE00007	QC03	Quay Crane	Terminal A	2025-02-13	1.3	VC00758	2026-06-21 13:18:00.000000	20260621	Night	425	67	69	9.74	86.38	0.1362	2026-06-25
CE00009	QC08	Quay Crane	Terminal A	2024-03-05	2.6	VC00630	2026-10-17 02:17:00.000000	20261017	Night	360	34	43	7.17	91.37	0.0863	2026-06-25
CE00018	QC03	Quay Crane	Terminal A	2025-02-13	1.2	VC00448	2026-04-30 11:58:00.000000	20260430	Morning	309	34	57	11.07	90.09	0.0991	2026-06-25
CE00023	QC08	Quay Crane	Terminal A	2024-03-05	1.2	VC00353	2025-05-30 08:54:00.000000	20250530	Night	407	21	80	11.79	95.09	0.0491	2026-06-25
CE00024	QC03	Quay Crane	Terminal A	2025-02-13	0	VC00575	2025-02-14 05:33:00.000000	20250214	Morning	427	68	35	4.92	86.26	0.1374	2026-06-25
CE00031	QC08	Quay Crane	Terminal A	2024-03-05	2	VC00806	2026-02-27 18:18:00.000000	20260227	Night	360	11	56	9.33	97.04	0.0296	2026-06-25
CE00037	QC03	Quay Crane	Terminal A	2025-02-13	0.7	VC00620	2025-10-26 22:39:00.000000	20251026	Night	355	57	20	3.38	86.17	0.1383	2026-06-25
CE00042	QC03	Quay Crane	Terminal A	2025-02-13	1.3	VC00715	2026-06-20 19:06:00.000000	20260620	Night	329	53	25	4.56	86.13	0.1387	2026-06-25
CE00043	QC03	Quay Crane	Terminal A	2025-02-13	0.2	VC00206	2025-04-16 00:40:00.000000	20250416	Night	445	13	25	3.37	97.16	0.0284	2026-06-25
CE00046	QC08	Quay Crane	Terminal A	2024-03-05	1.1	VC00324	2025-04-28 03:01:00.000000	20250428	Night	470	75	28	3.57	86.24	0.1376	2026-06-25
CE00047	QC03	Quay Crane	Terminal A	2025-02-13	0.4	VC00941	2025-07-17 23:20:00.000000	20250717	Night	352	84	38	6.48	80.73	0.1927	2026-06-25
CE00052	QC08	Quay Crane	Terminal A	2024-03-05	2.4	VC00707	2026-07-31 13:32:00.000000	20260731	Evening	366	58	31	5.08	86.32	0.1368	2026-06-25
CE00053	QC08	Quay Crane	Terminal A	2024-03-05	1.3	VC00281	2025-06-12 01:01:00.000000	20250612	Morning	443	87	60	8.13	83.58	0.1642	2026-06-25
CE00056	QC08	Quay Crane	Terminal A	2024-03-05	1.9	VC00591	2026-02-09 19:08:00.000000	20260209	Night	420	63	47	6.71	86.96	0.1304	2026-06-25
CE00059	QC03	Quay Crane	Terminal A	2025-02-13	0.7	VC00025	2025-10-29 06:39:00.000000	20251029	Night	430	24	23	3.21	94.71	0.0529	2026-06-25
CE00063	QC08	Quay Crane	Terminal A	2024-03-05	1.8	VC00503	2025-12-11 03:21:00.000000	20251211	Night	314	2	75	14.33	99.37	0.0063	2026-06-25
CE00065	QC03	Quay Crane	Terminal A	2025-02-13	-0.1	VC00401	2025-01-23 19:04:00.000000	20250123	Night	325	4	51	9.42	98.78	0.0122	2026-06-25
CE00067	QC08	Quay Crane	Terminal A	2024-03-05	1.3	VC00255	2025-07-07 11:25:00.000000	20250707	Morning	440	50	35	4.77	89.8	0.102	2026-06-25
CE00069	QC03	Quay Crane	Terminal A	2025-02-13	1.1	VC00488	2026-03-29 16:31:00.000000	20260329	Evening	468	6	31	3.97	98.73	0.0127	2026-06-25
CE00077	QC08	Quay Crane	Terminal A	2024-03-05	2	VC00071	2026-03-06 12:39:00.000000	20260306	Night	413	26	40	5.81	94.08	0.0592	2026-06-25
CE00079	QC08	Quay Crane	Terminal A	2024-03-05	1	VC00147	2025-02-27 22:13:00.000000	20250227	Evening	313	80	31	5.94	79.64	0.2036	2026-06-25
CE00082	QC03	Quay Crane	Terminal A	2025-02-13	1.7	VC00647	2026-10-21 19:01:00.000000	20261021	Morning	342	26	57	10	92.93	0.0707	2026-06-25
CE00085	QC08	Quay Crane	Terminal A	2024-03-05	2.4	VC00895	2026-07-16 12:20:00.000000	20260716	Evening	477	28	35	4.4	94.46	0.0554	2026-06-25
CE00086	QC03	Quay Crane	Terminal A	2025-02-13	1.3	VC00705	2026-05-26 05:06:00.000000	20260526	Morning	309	8	80	15.53	97.48	0.0252	2026-06-25
CE00093	QC03	Quay Crane	Terminal A	2025-02-13	0.5	VC00034	2025-08-12 17:09:00.000000	20250812	Evening	419	84	29	4.15	83.3	0.167	2026-06-25
CE00099	QC03	Quay Crane	Terminal A	2025-02-13	0.3	VC00965	2025-05-30 08:54:00.000000	20250530	Evening	392	85	35	5.36	82.18	0.1782	2026-06-25
CE00105	QC03	Quay Crane	Terminal A	2025-02-13	0.6	VC00531	2025-10-08 13:34:00.000000	20251008	Night	302	28	66	13.11	91.52	0.0848	2026-06-25
CE00107	QC08	Quay Crane	Terminal A	2024-03-05	2.5	VC00622	2026-09-13 17:53:00.000000	20260913	Evening	404	64	30	4.46	86.32	0.1368	2026-06-25
CE00108	QC03	Quay Crane	Terminal A	2025-02-13	1	VC00361	2026-02-21 23:29:00.000000	20260221	Night	416	29	44	6.35	93.48	0.0652	2026-06-25
CE00120	QC03	Quay Crane	Terminal A	2025-02-13	0.1	VC00278	2025-03-24 07:05:00.000000	20250324	Evening	353	15	36	6.12	95.92	0.0408	2026-06-25
CE00122	QC03	Quay Crane	Terminal A	2025-02-13	-0.1	VC00536	2025-01-04 17:36:00.000000	20250104	Morning	409	28	60	8.8	93.59	0.0641	2026-06-25
CE00123	QC08	Quay Crane	Terminal A	2024-03-05	1.9	VC00333	2026-02-14 10:37:00.000000	20260214	Evening	361	23	48	7.98	94.01	0.0599	2026-06-25
CE00126	QC08	Quay Crane	Terminal A	2024-03-05	1.5	VC00195	2025-09-19 00:56:00.000000	20250919	Morning	410	28	47	6.88	93.61	0.0639	2026-06-25
CE00137	QC08	Quay Crane	Terminal A	2024-03-05	0.8	VC00955	2025-01-02 21:06:00.000000	20250102	Night	431	34	71	9.88	92.69	0.0731	2026-06-25
CE00146	QC03	Quay Crane	Terminal A	2025-02-13	1.8	VC00065	2026-11-15 11:42:00.000000	20261115	Evening	355	27	36	6.08	92.93	0.0707	2026-06-25
CE00147	QC03	Quay Crane	Terminal A	2025-02-13	0.6	VC00593	2025-10-08 20:12:00.000000	20251008	Morning	310	33	31	6	90.38	0.0962	2026-06-25
CE00151	QC03	Quay Crane	Terminal A	2025-02-13	1.1	VC00552	2026-03-14 20:33:00.000000	20260314	Morning	332	16	59	10.66	95.4	0.046	2026-06-25
CE00156	QC03	Quay Crane	Terminal A	2025-02-13	1.5	VC00654	2026-08-23 08:35:00.000000	20260823	Night	362	52	34	5.64	87.44	0.1256	2026-06-25
CE00162	QC03	Quay Crane	Terminal A	2025-02-13	0.3	VC00937	2025-06-08 12:06:00.000000	20250608	Morning	311	9	73	14.08	97.19	0.0281	2026-06-25
CE00169	QC03	Quay Crane	Terminal A	2025-02-13	1	VC00666	2026-01-28 06:17:00.000000	20260128	Evening	371	43	47	7.6	89.61	0.1039	2026-06-25
CE00172	QC03	Quay Crane	Terminal A	2025-02-13	1.7	VC00444	2026-10-24 20:26:00.000000	20261024	Evening	313	83	23	4.41	79.04	0.2096	2026-06-25
CE00173	QC08	Quay Crane	Terminal A	2024-03-05	2.6	VC00024	2026-10-14 05:33:00.000000	20261014	Evening	372	73	76	12.26	83.6	0.164	2026-06-25
CE00175	QC03	Quay Crane	Terminal A	2025-02-13	1.3	VC00463	2026-05-28 12:21:00.000000	20260528	Evening	367	84	35	5.72	81.37	0.1863	2026-06-25
CE00176	QC08	Quay Crane	Terminal A	2024-03-05	1	VC00318	2025-02-15 00:01:00.000000	20250215	Evening	405	30	23	3.41	93.1	0.069	2026-06-25
CE00177	QC08	Quay Crane	Terminal A	2024-03-05	2.4	VC00686	2026-07-17 05:32:00.000000	20260717	Night	442	47	42	5.7	90.39	0.0961	2026-06-25
CE00179	QC08	Quay Crane	Terminal A	2024-03-05	1.3	VC00145	2025-06-13 19:33:00.000000	20250613	Evening	373	63	68	10.94	85.55	0.1445	2026-06-25
CE00189	QC08	Quay Crane	Terminal A	2024-03-05	2.3	VC00625	2026-07-09 05:30:00.000000	20260709	Evening	463	85	76	9.85	84.49	0.1551	2026-06-25
