MaintenanceID	EquipmentID	EquipmentType	Terminal	StartTime	EndTime	MaintenanceDateKey	MaintenanceType	FailureReason	FailureCategory	DowntimeHours	Cost	CostPerDowntimeHour	PrevMaintenanceEnd	DaysSincePrevMaintenance	LoadDate
M00357	E001	Forklift	Terminal A	2025-01-12 23:00:00.000000	2025-01-13 07:00:00.000000	20250112	Corrective	Hydraulic Fault	Other	8	34291	4286.38	NULL	NULL	2026-06-25
M00486	E001	Forklift	Terminal A	2025-04-12 17:00:00.000000	2025-04-13 05:00:00.000000	20250412	Corrective	Routine	Routine	12	40115	3342.92	2025-04-02 22:00:00.000000	9.8	2026-06-25
M00004	E001	Forklift	Terminal A	2026-02-12 08:00:00.000000	2026-02-12 17:00:00.000000	20260212	Corrective	Mechanical Wear	Mechanical	9	59458	6606.44	2026-01-21 02:00:00.000000	22.3	2026-06-25
M00435	E001	Forklift	Terminal A	2026-05-31 05:00:00.000000	2026-05-31 11:00:00.000000	20260531	Corrective	Mechanical Wear	Mechanical	6	34765	5794.17	2026-04-26 22:00:00.000000	34.3	2026-06-25
M00400	E001	Forklift	Terminal A	2026-06-30 19:00:00.000000	2026-06-30 22:00:00.000000	20260630	Corrective	Electrical Failure	Electrical	3	47337	15779	2026-05-31 11:00:00.000000	30.3	2026-06-25
M00083	E001	Forklift	Terminal A	2026-08-19 04:00:00.000000	2026-08-19 09:00:00.000000	20260819	Corrective	Routine	Routine	5	57121	11424.2	2026-07-07 14:00:00.000000	42.6	2026-06-25
M00155	E001	Forklift	Terminal A	2026-08-25 21:00:00.000000	2026-08-25 23:00:00.000000	20260825	Corrective	Mechanical Wear	Mechanical	2	35598	17799	2026-08-19 09:00:00.000000	6.5	2026-06-25
M00260	E001	Forklift	Terminal A	2026-09-04 18:00:00.000000	2026-09-05 00:00:00.000000	20260904	Corrective	Routine	Routine	6	35738	5956.33	2026-08-25 23:00:00.000000	9.8	2026-06-25
M00455	E002	RTG Crane	Terminal A	2025-09-18 20:00:00.000000	2025-09-18 21:00:00.000000	20250918	Corrective	Routine	Routine	1	65614	65614	2025-07-19 00:00:00.000000	61.8	2026-06-25
M00181	E002	RTG Crane	Terminal A	2025-11-28 13:00:00.000000	2025-11-28 20:00:00.000000	20251128	Corrective	Mechanical Wear	Mechanical	7	52400	7485.71	2025-11-21 22:00:00.000000	6.6	2026-06-25
M00125	E002	RTG Crane	Terminal A	2026-01-13 16:00:00.000000	2026-01-14 02:00:00.000000	20260113	Corrective	Routine	Routine	10	81802	8180.2	2025-11-28 20:00:00.000000	45.8	2026-06-25
M00482	E002	RTG Crane	Terminal A	2026-04-26 09:00:00.000000	2026-04-26 18:00:00.000000	20260426	Corrective	Mechanical Wear	Mechanical	9	95268	10585.33	2026-03-15 05:00:00.000000	42.2	2026-06-25
M00042	E002	RTG Crane	Terminal A	2026-06-11 07:00:00.000000	2026-06-11 11:00:00.000000	20260611	Corrective	Routine	Routine	4	95910	23977.5	2026-05-29 13:00:00.000000	12.8	2026-06-25
