TransactionID	GateID	GateType	Terminal	TruckID	CarrierName	VehicleType	ContainerID	Direction	EntryTime	ExitTime	EntryDateKey	EntryHour	EntryDayOfWeek	IsPeakHour	ProcessingMinutes	TransactionDurationMins	LoadDate
GT000003	G03	Truck Entry	Terminal B	T093	Prime Transport	32FT	C001697	Inbound	2026-10-11 03:44:00.000000	2026-10-11 03:55:00.000000	20261011	3	1	0	11	11	2026-06-25
GT000010	G03	Truck Entry	Terminal B	T078	City Cargo	32FT	C006805	Outbound	2025-07-28 11:59:00.000000	2025-07-28 12:28:00.000000	20250728	11	2	0	29	29	2026-06-25
GT000011	G03	Truck Entry	Terminal B	T068	Swift Movers	32FT	C017132	Inbound	2026-04-18 14:30:00.000000	2026-04-18 15:40:00.000000	20260418	14	7	1	70	70	2026-06-25
GT000013	G04	Truck Exit	Terminal B	T003	City Cargo	20FT	C006199	Inbound	2026-10-17 06:01:00.000000	2026-10-17 06:17:00.000000	20261017	6	7	1	16	16	2026-06-25
GT000015	G04	Truck Exit	Terminal B	T006	Alpha Logistics	20FT	C016280	Inbound	2025-12-22 14:21:00.000000	2025-12-22 15:00:00.000000	20251222	14	2	1	39	39	2026-06-25
GT000017	G03	Truck Entry	Terminal B	T014	Prime Transport	32FT	C006563	Outbound	2026-05-15 16:17:00.000000	2026-05-15 17:24:00.000000	20260515	16	6	1	67	67	2026-06-25
GT000019	G03	Truck Entry	Terminal B	T035	Prime Transport	32FT	C006627	Inbound	2025-09-24 18:11:00.000000	2025-09-24 19:31:00.000000	20250924	18	4	0	80	80	2026-06-25
GT000020	G03	Truck Entry	Terminal B	T012	Express Freight	40FT	C009824	Outbound	2026-11-21 11:33:00.000000	2026-11-21 11:55:00.000000	20261121	11	7	0	22	22	2026-06-25
GT000021	G03	Truck Entry	Terminal B	T010	Prime Transport	20FT	C001716	Inbound	2025-05-08 17:22:00.000000	2025-05-08 18:51:00.000000	20250508	17	5	1	89	89	2026-06-25
GT000022	G03	Truck Entry	Terminal B	T044	City Cargo	32FT	C011689	Outbound	2025-09-05 11:05:00.000000	2025-09-05 11:23:00.000000	20250905	11	6	0	18	18	2026-06-25
