TruckID,CarrierName,VehicleType
T001,Express Freight,40FT
T002,City Cargo,40FT
T003,City Cargo,20FT
T004,Alpha Logistics,40FT
T005,Alpha Logistics,20FT
T006,Alpha Logistics,20FT
T007,Swift Movers,20FT
T008,Express Freight,20FT
T009,Swift Movers,40FT
T010,Prime Transport,20FT
T011,Express Freight,20FT
T012,Express Freight,40FT
T013,Prime Transport,20FT
T014,Prime Transport,32FT
T015,City Cargo,20FT
T016,Alpha Logistics,40FT
T017,Prime Transport,32FT
T018,Prime Transport,32FT
T019,Prime Transport,40FT
T020,Alpha Logistics,40FT
T021,Alpha Logistics,20FT
T022,Prime Transport,40FT
T023,Swift Movers,20FT
T024,City Cargo,20FT
T025,City Cargo,40FT
T026,Prime Transport,20FT
T027,Prime Transport,20FT
T028,Swift Movers,32FT
T029,City Cargo,20FT
T030,Prime Transport,40FT
T031,Alpha Logistics,20FT
T032,Express Freight,20FT
T033,Alpha Logistics,20FT
T034,City Cargo,32FT
T035,Prime Transport,32FT
T036,City Cargo,32FT
T037,Alpha Logistics,20FT
T038,Prime Transport,20FT
T039,Prime Transport,32FT
T040,Prime Transport,32FT
T041,Prime Transport,40FT
T042,Express Freight,40FT
T043,Prime Transport,20FT
T044,City Cargo,32FT
T045,City Cargo,20FT
T046,Express Freight,40FT
T047,Express Freight,20FT
T048,Swift Movers,20FT
T049,Alpha Logistics,40FT
T050,Prime Transport,40FT
T051,Express Freight,20FT
T052,Alpha Logistics,40FT
T053,Alpha Logistics,20FT
T054,Alpha Logistics,40FT
T055,Alpha Logistics,40FT
T056,City Cargo,32FT
T057,Alpha Logistics,40FT
T058,City Cargo,40FT
T059,Express Freight,20FT
T060,Express Freight,20FT
T061,Prime Transport,40FT
T062,Express Freight,40FT
T063,Express Freight,32FT
T064,Swift Movers,20FT
T065,Swift Movers,20FT
T066,Swift Movers,32FT
T067,City Cargo,40FT
T068,Swift Movers,32FT
T069,Swift Movers,20FT
T070,Alpha Logistics,32FT
T071,Express Freight,40FT
T072,Alpha Logistics,20FT
T073,Express Freight,20FT
T074,Express Freight,32FT
T075,City Cargo,32FT
T076,Alpha Logistics,20FT
T077,Swift Movers,32FT
T078,City Cargo,32FT
T079,Express Freight,40FT
T080,Swift Movers,40FT
T081,Express Freight,20FT
T082,Express Freight,32FT
T083,Alpha Logistics,20FT
T084,Swift Movers,20FT
T085,Alpha Logistics,40FT
T086,Express Freight,20FT
T087,Swift Movers,32FT
T088,Express Freight,20FT
T089,Swift Movers,20FT
T090,Swift Movers,40FT
T091,Prime Transport,32FT
T092,Alpha Logistics,20FT
T093,Prime Transport,32FT
T094,Alpha Logistics,20FT
T095,Swift Movers,20FT
T096,Swift Movers,20FT
T097,Prime Transport,40FT
T098,Prime Transport,40FT
T099,Alpha Logistics,20FT
T100,Alpha Logistics,40FT
