VesselID,VesselName,ShippingLineID,VesselType,TEUCapacity,FlagCountry
V001,MSC Vessel 1,SL002,Container,2909,Liberia
V002,COSCO Vessel 2,SL004,Container,6157,Denmark
V003,Maersk Vessel 3,SL001,Container,13587,Marshall Islands
V004,ONE Vessel 4,SL006,Container,12174,Singapore
V005,MSC Vessel 5,SL002,Container,2988,Panama
V006,Maersk Vessel 6,SL001,Container,6311,Marshall Islands
V007,MSC Vessel 7,SL002,Container,11695,Denmark
V008,Hapag-Lloyd Vessel 8,SL005,Container,6111,Singapore
V009,Evergreen Vessel 9,SL007,Container,15761,Panama
V010,ONE Vessel 10,SL006,Container,13938,Singapore
V011,CMA CGM Vessel 11,SL003,Container,7052,Denmark
V012,Maersk Vessel 12,SL001,Container,15009,Liberia
V013,Hapag-Lloyd Vessel 13,SL005,Container,4019,Singapore
V014,CMA CGM Vessel 14,SL003,Container,8381,Liberia
V015,MSC Vessel 15,SL002,Container,15723,Panama
V016,CMA CGM Vessel 16,SL003,Container,11285,Panama
V017,MSC Vessel 17,SL002,Container,3791,Marshall Islands
V018,COSCO Vessel 18,SL004,Container,16088,Marshall Islands
V019,CMA CGM Vessel 19,SL003,Container,11959,Denmark
V020,COSCO Vessel 20,SL004,Container,3250,Denmark
V021,COSCO Vessel 21,SL004,Container,3807,Denmark
V022,ONE Vessel 22,SL006,Container,8727,Liberia
V023,Maersk Vessel 23,SL001,Container,12915,Liberia
V024,CMA CGM Vessel 24,SL003,Container,8565,Liberia
V025,ONE Vessel 25,SL006,Container,13480,Liberia
V026,ONE Vessel 26,SL006,Container,12480,Denmark
V027,Evergreen Vessel 27,SL007,Container,5177,Singapore
V028,ONE Vessel 28,SL006,Container,6922,Marshall Islands
V029,MSC Vessel 29,SL002,Container,13716,Liberia
V030,Hapag-Lloyd Vessel 30,SL005,Container,6252,Panama
