CraneEventID,CraneID,VesselCallID,EventTime,ActiveMinutes,DowntimeMinutes,MovesCompleted,ShiftName
CE00001,QC02,VC00410,2026-08-10 06:49:00,362,63,54,Evening
CE00002,QC03,VC00191,2025-07-02 03:52:00,420,38,78,Morning
CE00003,QC04,VC00822,2026-07-20 07:53:00,346,49,27,Morning
CE00004,QC02,VC00356,2026-06-15 21:32:00,353,22,50,Night
CE00005,QC06,VC00203,2025-08-07 10:45:00,395,16,57,Night
CE00006,QC02,VC00196,2026-01-09 01:33:00,334,31,47,Night
CE00007,QC03,VC00758,2026-06-21 13:18:00,425,67,69,Night
CE00008,QC06,VC00221,2025-02-26 05:44:00,402,66,28,Night
CE00009,QC08,VC00630,2026-10-17 02:17:00,360,34,43,Night
CE00010,QC07,VC00328,2026-12-01 18:58:00,454,18,59,Night
CE00011,QC06,VC00095,2025-09-30 02:46:00,357,15,24,Morning
CE00012,QC01,VC00874,2025-11-20 09:46:00,322,63,49,Night
CE00013,QC06,VC00847,2026-05-01 16:09:00,472,38,26,Morning
CE00014,QC06,VC00915,2025-03-28 03:07:00,371,43,73,Morning
CE00015,QC07,VC00850,2025-11-02 14:43:00,469,12,65,Morning
CE00016,QC01,VC00896,2026-01-22 21:38:00,454,28,25,Evening
CE00017,QC06,VC00726,2025-01-30 06:43:00,342,57,55,Night
CE00018,QC03,VC00448,2026-04-30 11:58:00,309,34,57,Morning
CE00019,QC06,VC00482,2025-12-19 05:13:00,422,39,78,Night
CE00020,QC05,VC00090,2026-05-27 22:10:00,375,67,55,Night
CE00021,QC01,VC00856,2025-08-06 06:36:00,459,65,20,Morning
CE00022,QC04,VC00424,2025-05-08 00:52:00,347,2,40,Morning
CE00023,QC08,VC00353,2025-05-30 08:54:00,407,21,80,Night
CE00024,QC03,VC00575,2025-02-14 05:33:00,427,68,35,Morning
CE00025,QC05,VC00835,2026-10-23 06:58:00,365,64,55,Morning
CE00026,QC04,VC00179,2025-02-06 13:02:00,398,45,36,Evening
CE00027,QC01,VC00962,2026-05-25 03:26:00,337,31,71,Evening
CE00028,QC01,VC00728,2026-04-20 19:15:00,462,46,69,Morning
CE00029,QC06,VC00804,2026-06-04 15:52:00,415,70,52,Evening
CE00030,QC07,VC00359,2026-06-20 23:28:00,418,51,20,Morning
CE00031,QC08,VC00806,2026-02-27 18:18:00,360,11,56,Night
CE00032,QC02,VC00353,2025-05-30 08:54:00,401,36,63,Night
